type1,type2,target
Pred,Unpred,amoureux
Pred,Unpred,chien
Pred,Unpred,chaude
Pred,Unpred,malheur
Pred,Unpred,rencontrés
Pred,Unpred,nuit
Pred,Unpred,dent
Pred,Unpred,usée
Pred,Unpred,forte
Pred,Unpred,fête
Pred,Unpred,pas
Pred,Unpred,montre
Pred,Unpred,voler
Pred,Unpred,rouge
Pred,Unpred,guerre
Pred,Unpred,faire
Pred,Unpred,nourrir
Pred,Unpred,emploi
Pred,Unpred,couteau
Pred,Unpred,rire
Pred,Unpred,erreur
Pred,Unpred,péché
Pred,Unpred,serviette
Pred,Unpred,creusé
Pred,Unpred,juste
Pred,Unpred,ami
unpred,Pred,disparu
unpred,Pred,chiot
unpred,Pred,tonne
unpred,Pred,blague
unpred,Pred,acide
unpred,Pred,hameçon
unpred,Pred,contrat
unpred,Pred,boue
unpred,Pred,badge
unpred,Pred,foule
unpred,Pred,mort
unpred,Pred,raser
unpred,Pred,malade
unpred,Pred,anniversaire
unpred,Pred,construite
unpred,Pred,vite
unpred,Pred,désordre
unpred,Pred,forces
unpred,Pred,outils
unpred,Pred,laver
unpred,Pred,gagné
unpred,Pred,abeille
unpred,Pred,bateau
unpred,Pred,pleurer
unpred,Pred,enterrement
unpred,Pred,pauvreté
unpred,Pred,chat
