Predictable end sentence,Unpredictable end sentence,target
"Les jours ensoleillés, Jacques se rend au parc pour promener son chien.","Pendant les grandes vacances, le médecin aimait voyager avec son chien.",chien
Émilie l’avait détestée dès le moment où elles s'étaient rencontrées.,Les policiers n'avaient pas du tout compris qu'elles s'étaient rencontrées,rencontrées
"Cette jupe est trop vieille, son tissu est très usé.","Pour se réchauffer, il a mis un manteau très usé.",usé
Le magicien fit tomber le rideau et la femme avait disparu.,Les visiteurs attendaient le maire et pensaient qu'il avait disparu.,disparu
Il voulait travailler pour mon entreprise et n'a pas hésité à signer le contrat.,Elle a eu la bonne idée de le rappeler après avoir étudié son contrat‏.,contrat
La fillette a reçu ce cadeau pour son anniversaire.,Elle a acheté un pot de fleurs pour son anniversaire.,anniversaire
Hugo vivait dans une cabane qu'il avait lui-même construite.,Albert a oublié la radio que sa mère avait construite.,construite
La riche héritière portait un collier de perles.,La femme s’était offert un beau bracelet de perles.,perles
"Pour rendre son café moins amer, elle a mis un morceau de sucre.","Pour améliorer cette recette, il faudrait ajouter un peu de sucre.",sucre
Il lui a mis un couteau sous la gorge.,Elle a toujours eu mal à la gorge.,gorge
Bernard l’avait accueilli avec un thé à la menthe.,Isabelle était sortie cueillir un bouquet de menthe.,menthe
Elle a emporté son nouvel appareil pour prendre de belles photos.,Son père avait dans le temps une incroyable collection de photos.,photos
On fait le cidre avec le jus des pommes.,Son ami a toujours adoré manger des pommes.,pommes
Les pompiers ont enfin récupéré le chat coincé en haut d'un arbre.,Nous sommes descendu de la voiture et avons vu un bel arbre.,arbre
"La gare est encore très loin, et nous allons rater notre train.","Nous avons enfin fini nos examens, et nous allons prendre le train.",train
"Au printemps dans le jardin, son père tondait la pelouse.","En été à la mer, les enfants jouaient sur la pelouse.",pelouse
"Dès sa majorité, il s’était engagé dans l’armée.","Depuis trois ans, elle travaillait dans l’armée.",armée
Après cette grosse bêtise il rougit de honte,"L'après-midi, il su pourquoi il avait honte.",honte
"Après sa panne, un passant l'a aidé à pousser sa voiture","Comme ses voisins, elle a elle-même repeint sa voiture",voiture
"Elevé dans une ferme, il rêve de retourner vivre à la campagne.","A la fin des vacances, Eloïse décida de retourner dans la campagne.",campagne
Elle aime ce film sans en comprendre le sens,Georges pense que cette histoire a un sens,sens
Il va acheter des actions cotées en bourse,Elle n'est encore jamais passée devant la bourse,bourse
Sa vue a diminué et elle doit acheter une nouvelle paire de lunettes.,Il aime le commerce et a décidé d'ouvrir un magasin de lunettes.,lunettes
Le petit garçon mange son steak avec un couteau et une fourchette.,La vieille femme met dans son sac un petit briquet et une fourchette.,fourchette
Dès la première goutte de pluie elle a ouvert son parapluie.,Dès son arrivée dans le grand magasin elle s'est acheté un parapluie.,parapluie
