,ortho,phon,p_cvcv,cvcv,nbsyll,nblettres
13398,garbe,gaRb,CVCC,CVCCV,1,5
13598,narque,naRk,CVCC,CVCCVV,1,6
14041,mattre,matR,CVCC,CVCCCV,1,6
24407,giffre,gifR,CVCC,CCVCCCV,1,7
25098,rible,ribl,CVCC,CVCCV,1,5
25458,lirque,liRk,CVCC,CVCCVV,1,6
25655,slaire,slER,CCVC,CCVVC,1,5
25860,prasse,pras,CCVC,CCVCCV,1,6
34203,choupe,Sup,CCVC,CCVVCV,1,6
46186,gouble,gubl,CVCC,CVVCCV,1,6
46457,prame,pRam,CCVC,CCVCV,1,5
59926,daible,dEbl,CVCC,CVVCCV,1,6
61071,berme,bERm,CVCC,CVCCV,1,5
61405,ceutre,k2tR,CVCC,CVVCCV,1,6
62106,lixe,liks,CVCC,CVCV,1,4
62288,blamme,blam,CCVC,CCVCCV,1,6
62366,tlaque,tlak,CCVC,CCVCVV,1,6
68480,praisse,pREs,CCVC,CCVVCCV,1,7
80020,muste,myst,CVCC,CVCCV,1,5
81811,cettre,sEtR,CVCC,CVCCCV,1,6
81916,lèvre,lEvR,CVCC,CVCCV,1,5
82085,libre,libR,CVCC,CVCCV,1,5
82620,liste,list,CVCC,CVCCV,1,5
82673,litre,litR,CVCC,CVCCV,1,5
82739,livre,livR,CVCC,CVCCV,1,5
83624,luxe,lyks,CVCC,CVCV,1,4
84130,maigre,mEgR,CVCC,CVVCCV,1,6
84256,maître,mEtR,CVCC,CVVCCV,1,6
85331,marche,maRS,CVCC,CVCCCV,1,6
85403,marge,maRZ,CVCC,CVCCV,1,5
85683,marque,maRk,CVCC,CVCCVV,1,6
85775,mars,maRs,CVCC,CVCC,1,4
85921,masque,mask,CVCC,CVCCVV,1,6
86082,match,matS,CVCC,CVCCC,1,5
86914,membre,m@bR,CVCC,CVCCCV,1,6
87356,merde,mERd,CVCC,CVCCV,1,5
87357,merde,mERd,CVCC,CVCCV,1,5
87736,mètre,mEtR,CVCC,CVCCV,1,5
87783,mettre,mEtR,CVCC,CVCCCV,1,6
87803,meuble,m9bl,CVCC,CVVCCV,1,6
89296,moeurs,m9Rs,CVCC,CVVVCC,1,6
89862,montre,m§tR,CVCC,CVCCCV,1,6
90185,morne,mORn,CVCC,CVCCV,1,5
91530,naître,nEtR,CVCC,CVVCCV,1,6
92125,nègre,nEgR,CVCC,CVCCV,1,5
92423,neutre,n2tR,CVCC,CVVCCV,1,6
92728,noble,nObl,CVCC,CVCCV,1,5
92839,nombre,n§bR,CVCC,CVCCCV,1,6
93197,notre,nOtR,CVCC,CVCCV,1,5
93199,nôtre,notR,CVCC,CVCCV,1,5
93201,nôtres,notR,CVCC,CVCCVC,1,6
96224,pacte,pakt,CVCC,CVCCV,1,5
97346,parc,paRk,CVCC,CVCC,1,4
98615,pauvre,povR,CVCC,CVVCCV,1,6
98616,pauvre,povR,CVCC,CVVCCV,1,6
99004,peindre,p5dR,CVCC,CVVCCCV,1,7
99030,peintre,p5tR,CVCC,CVVCCCV,1,7
99296,pendre,p@dR,CVCC,CVCCCV,1,6
100333,perte,pERt,CVCC,CVCCV,1,5
122291,sabre,sabR,CVCC,CVCCV,1,5
125539,sexe,sEks,CVCC,CVCV,1,4
126056,simple,s5pl,CVCC,CVCCCV,1,6
126404,slip,slip,CCVC,CCVC,1,4
126890,sombre,s§bR,CVCC,CVCCCV,1,6
127197,sorte,sORt,CVCC,CVCCV,1,5
127384,souffle,sufl,CVCC,CVVCCCV,1,7
127767,souple,supl,CVCC,CVVCCV,1,6
133313,tendre,t@dR,CVCC,CVCCCV,1,6
133315,tendre,t@dR,CVCC,CVCCCV,1,6
133462,terme,tERm,CVCC,CVCCV,1,5
133721,test,tEst,CVCC,CVCC,1,4
134131,tigre,tigR,CVCC,CVCCV,1,5
134165,timbre,t5bR,CVCC,CVCCCV,1,6
134456,titre,titR,CVCC,CVCCV,1,5
134492,toast,tost,CVCC,CVVCC,1,5
135000,torse,tORs,CVCC,CVCCV,1,5
135587,trace,tRas,CCVC,CCVCV,1,5
135983,tranche,tR@S,CCVC,CCVCCCV,1,7
136725,treize,tREz,CCVC,CCVVCV,1,6
136876,trente,tR@t,CCVC,CCVCCV,1,6
136995,trêve,tREv,CCVC,CCVCV,1,5
137604,tronche,tR§S,CCVC,CCVCCCV,1,7
137625,trône,tRon,CCVC,CCVCV,1,5
137812,troupe,tRup,CCVC,CCVVCV,1,6
137922,truc,tRyk,CCVC,CCVC,1,4
138000,tsar,tsaR,CCVC,CCVC,1,4
141944,vôtres,votR,CVCC,CVCCVC,1,6
141945,votre,vOtR,CVCC,CVCCV,1,5
141948,vôtre,votR,CVCC,CVCCV,1,5
