,ortho,cgram,nbsyll_x,nblettres_x,freq_mism,freq_x,nbhomogr,nbsyll_y,nblettres_y,freq_y,_merge
0,blatte,NOM,1,6,L_2,0.7371640659767198,1.0,1.0,6.0,0.7371640659767198,both
5,bulbe,NOM,1,5,L_2,1.2837077723447896,1.0,1.0,5.0,1.2837077723447896,both
6,câpre,NOM,1,5,L_2,-0.11653381625595163,1.0,1.0,5.0,-0.11653381625595163,both
7,celte,ADJ,1,5,L_2,0.9783261227936078,2.0,1.0,5.0,0.9783261227936078,both
8,chlore,NOM,1,6,L_2,1.1631508098056809,1.0,1.0,6.0,1.1631508098056809,both
10,derme,NOM,1,5,L_2,0.6205764877251098,1.0,1.0,5.0,0.6205764877251098,both
11,drone,NOM,1,5,L_2,0.9820784724121582,1.0,1.0,5.0,0.9820784724121582,both
13,flore,NOM,1,5,L_2,1.463255402256019,1.0,1.0,5.0,1.463255402256019,both
14,fourbe,ADJ,1,6,L_2,1.5644405465033644,2.0,1.0,6.0,1.5644405465033644,both
15,fripe,NOM,1,5,L_2,0.8586616190375187,2.0,1.0,5.0,0.8586616190375187,both
17,fronde,NOM,1,6,L_2,1.684545384920906,2.0,1.0,6.0,1.684545384920906,both
18,geindre,NOM,1,7,L_2,1.9080599249242156,2.0,1.0,7.0,1.9080599249242156,both
22,guilde,NOM,1,6,L_2,0.12221763272424911,1.0,1.0,6.0,0.12221763272424911,both
23,lynx,NOM,1,4,L_2,1.7749523509116736,1.0,1.0,4.0,1.7749523509116736,both
24,moufle,NOM,1,6,L_2,1.1346227261911428,1.0,1.0,6.0,1.1346227261911428,both
28,pitre,NOM,1,5,L_2,1.9315214116032138,1.0,1.0,5.0,1.9315214116032138,both
30,prude,ADJ,1,5,L_2,0.8919980393051105,2.0,1.0,5.0,0.8919980393051105,both
33,sigle,NOM,1,5,L_2,1.3584091576303547,1.0,1.0,5.0,1.3584091576303547,both
35,spore,NOM,1,5,L_2,0.058268908123975824,1.0,1.0,5.0,0.058268908123975824,both
36,strie,NOM,1,5,L_2,0.9820784724121582,1.0,1.0,5.0,0.9820784724121582,both
37,tacle,NOM,1,5,L_2,-0.10536051565782616,1.0,1.0,5.0,-0.10536051565782616,both
38,talc,NOM,1,4,L_2,1.7544036826842861,1.0,1.0,4.0,1.7544036826842861,both
39,thermes,NOM,1,7,L_2,0.6523251860396901,1.0,1.0,7.0,0.6523251860396901,both
40,tourte,NOM,1,6,L_2,1.2412685890696329,1.0,1.0,6.0,1.2412685890696329,both
45,zeste,NOM,1,5,L_2,1.1019400787607843,1.0,1.0,5.0,1.1019400787607843,both
