,ortho,cgram,nbhomogr,nbsyll,nblettres,freq
16609,borgne,ADJ,2,1,6,2.3896797998449792
18422,brique,NOM,3,1,6,4.107918682249219
18641,bronze,NOM,3,1,6,3.7923381624821664
18642,bronze,VER,3,1,6,2.4865719291070616
18991,brut,ADJ,3,1,4,2.8449093838194073
34289,cruche,NOM,2,1,6,2.663052835171474
61069,ferme,ADJ,4,1,5,4.88778946409741
61071,ferme,NOM,4,1,5,5.543848436739876
61072,ferme,VER,4,1,5,6.298710247709686
64935,fronce,VER,2,1,6,2.93651291389402
68197,gourde,NOM,2,1,6,2.6803363625346943
68372,grâce,NOM,3,1,5,5.159227698146083
68374,grâce,PRE,3,1,5,5.795814560102695
69314,grimpe,VER,2,1,6,4.460144413937834
92423,neutre,ADJ,2,1,6,3.447762850809476
93199,nôtre,PRO:pos,2,1,5,4.442886522930644
100465,peste,NOM,3,1,5,3.9156165409382764
102672,plate,ADJ,2,1,5,4.574814065973192
108601,purge,VER,2,1,5,2.336019869080283
122391,sacre,VER,2,1,5,3.7471483622379123
126482,snob,ADJ,2,1,4,2.231089091288976
136525,traque,VER,2,1,6,3.4647979630717503
137069,triche,VER,2,1,6,3.4368862240706624
140340,verse,VER,2,1,5,4.607766811835357
141945,votre,ADJ:pos,2,1,5,8.443331342817782
